date,bandNumber,type
2016-04-06,2641-96752,T
2016-04-08,2331-09123,T
2016-04-08,2331-09334,T
2016-04-08,2531-99356,T
2016-04-08,2641-63901,P
2016-04-09,2651-17146,P
2016-04-11,2641-63670,P
2016-04-11,2641-63975,P
2016-04-13,1891-11047,P
2016-04-14,2651-43224,P
2016-04-14,791-17259,T
2016-04-15,1991-18078,P
2016-04-19,2421-11396,P
2016-04-22,2561-86610,P
2016-04-24,2421-11381,P
2016-04-25,2641-96709,P
2016-04-26,1991-18077,T
2016-04-26,2531-99395,T
2016-04-26,2541-40420,T
2016-04-27,2531-99350,T
2016-04-27,2641-96752,P
2016-04-28,2531-74587,T
2016-05-01,2641-63774,P
2016-05-02,2641-96748,P
2016-05-05,2421-11945,T
2016-05-05,2571-89993,T
2016-05-05,2571-90190,T
2016-05-05,2641-96865,T
2016-05-07,2531-74593,T
2016-05-09,2641-85630,P
2016-05-10,1891-11070,P
2016-05-10,1991-18072,P
2016-05-12,2651-43242,P
2016-05-13,2651-17146,P
2016-05-15,2641-85632,P
2016-05-15,2651-17152,P
2016-05-16,2641-63831,P
2016-05-16,2641-96894,T
2016-05-16,2641-96895,T
2016-05-18,2651-43230,T
2016-05-19,2641-63693,P
2016-05-19,2651-56720,P
2016-05-28,2421-34693,T
2016-05-31,2571-89968,T
2016-05-31,2641-63794,T
2016-05-31,2641-63795,T
2016-06-01,1891-11070,P
2016-06-01,1891-11072,P
2016-06-01,2641-85630,P
2016-06-03,2371-04378,T
2016-06-03,2371-04380,T
2016-06-04,2651-17111,T
2016-06-07,2561-86610,T
2016-06-07,2571-83116,T
2016-06-07,2651-51547,T
2016-06-07,2711-77607,T
2016-06-07,2711-77618,T
2016-06-07,2711-77620,T
2016-06-09,2641-85632,P
2016-06-09,2651-17152,P
2016-06-10,2641-96749,P
2016-06-11,2651-43275,P
2016-06-14,2291-44253,T
2016-06-14,2651-56746,T
2016-06-14,2651-56749,T
2016-06-14,2651-56750,T
2016-06-16,2441-96351,T
2016-06-16,2651-52497,T
2016-06-17,2641-63695,P
2016-06-18,2441-96391,T
2016-06-20,2651-47516,T
2016-06-21,2651-51549,T
2016-06-22,2421-11355,P
2016-06-23,2641-85630,T
2016-06-25,2531-90263,T
2016-06-26,2291-44294,T
2016-06-26,2371-04314,T
2016-06-26,2531-91109,P
2016-06-28,2561-56890,T
2016-06-28,2561-56891,T
2016-06-30,2641-96580,T
2016-07-02,2711-77613,T
2016-07-04,1891-11058,T
